compatibility_category,classification_basis,detected_brands,compatibility_brands,source_brands,title,product_brand,source_url,compatibility
cross-brand,structured-db,Asus | Lenovo,Asus | Lenovo,,Compatible Display 01AG967 23.8 in 1920x1080 / FHD 30-pin LVDS,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01ag967-33004065,"Panel part numbers: 01AG967, 6091L-3327T, SD10W64189, 5D10W33970, 5D10W33944. Compatible laptop models: Lenovo IdeaCentre AIO 3-24IMB05 (F0EU), Lenovo IdeaCentre AIO 5-24ALC6 (F0G2), Asus Vivo AiO V241FFK, Lenovo IdeaCentre AIO A340-24IWL (F0E8), Lenovo IdeaCentre AIO 720-24IKB (F0CM), Lenovo V530-24ICB (10UW/10UX), Lenovo IdeaCentre AIO A340, Lenovo IdeaCentre AIO 520-24ARR (F0DN), Lenovo IdeaCentre AIO 520-24AST (F0D3), Lenovo IdeaCentre AIO 520-24IKL (F0D1). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Asus | Lenovo | Packard Bell,Asus | Lenovo | Packard Bell,,Compatible Display 01EN332 15.6 in 1920x1080 / FHD 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01en332-100193830,"Panel part numbers: 01EN332, 5D10G16541, SD10F28491, 01AW099, 01HY315, 01LV733, 5D10H34772, 5D10K18374, SD10N03286, 01YN179. Compatible laptop models: Packard Bell EasyNote TE69HW, Asus F550DP, Asus X550LN, Lenovo Z50-75 (80EC), Asus N550JK, Gigabyte P35W v2, Asus Transformer Book Flip TP500LA, Lenovo G50-80 (80E5/80KR/80L0/80L4/80R0), Asus F555LA, Asus N550JX. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Asus | Lenovo,Asus | Lenovo,,Compatible Display 01ER492 15.6 in 1920x1080 / FHD 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01er492-109845200/nup,"Panel part numbers: 01ER492, 01HY451, 01YU912, SBB0N79091. Compatible laptop models: Asus VivoBook 15 R507UB, Lenovo ThinkPad T580 (20L9/20LA), Lenovo ThinkPad E595 (20NF), Lenovo IdeaPad Creator 5-15IMH05 (82D4), Asus VivoBook 15 F505BP, Asus VivoBook 15 F509UA, Asus VivoBook R520QA, Asus TUF FX570UD, Lenovo ThinkPad T570 (20H9/20HA/20JW/20JX), Lenovo ThinkPad P51s (20HB/20HC/20JY/20K0). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Acer | Lenovo,Acer | Lenovo,,Compatible Display 01YW401 27.0 in 2560x1440 / QHD 92-pin LVDS,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01yw401-140655231,"Panel part numbers: 01YW401. Compatible laptop models: Lenovo IdeaCentre A540-27ICB (F0EK), Lenovo IdeaCentre AIO 520-27IKL (F0D0), Lenovo IdeaCentre AIO 520-27ICB (F0DE), Lenovo IdeaCentre AIO 5-27IMB05 (F0FA), Acer H277HU, Acer H277HUR, Acer RC271U. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Acer | Asus | Lenovo,Acer | Asus | Lenovo,,Compatible Display 028H80 15.6 in 1920x1080 / FHD 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-028h80-100193837,"Panel part numbers: 028H80, 08KV42, 08NC1F, 0VMX8X, R52WF, R9P60, 0C1JFR, 0C3MWM. Compatible laptop models: Acer Aspire E1-572G, Acer Aspire V5-572P, Asus N550LF, Asus R553LN, Lenovo ThinkPad T540 (20BF/20BE), Lenovo ThinkPad S540 (20B3), Acer TravelMate P4 (P455-MG), Asus Transformer Book Flip TP500LN, Lenovo ThinkPad T540p (20BF/20BE), Asus N551JW. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Acer | Asus | Dell | Toshiba,Acer | Asus | Dell | Toshiba,,Compatible Display 02DA3360 15.6 in 1366x768 / HD 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02da3360-148047629,"Panel part numbers: 02DA3360. Compatible laptop models: Acer Aspire E1-572G, Asus R510LA, Asus R556LD, Acer Aspire V 15 Nitro (VN7-571G), Dell Inspiron 15 (3542), Acer Aspire V5-561, Acer TravelMate P4 (P455-M), Asus ROG G551JK, Toshiba Satellite S50-A, Nexoc M514 (WA50SJQ). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Acer | Asus | Lenovo,Acer | Asus | Lenovo,,Compatible Display 02DA359 13.3 in 1920x1080 / FHD 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02da359-70816270,"Panel part numbers: 02DA359, 01HW700, 01HY591, 01HY592, 01AV673. Compatible laptop models: Asus X302UA, Acer TravelMate P2 (P236-M), Lenovo IdeaPad 510S-13IKB (80V0), Acer TravelMate P2 (P238-M), Lenovo ThinkPad 13 (20J2/20J1), Lenovo ThinkPad 13 (20GJ), Lenovo ThinkPad L380 (20M5/20M6), Lenovo ThinkPad 13 (20GK), Lenovo ThinkPad L390 (20NR/20NS). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Asus | Lenovo | MSI,Asus | Lenovo | MSI,,Compatible Display 02DD009 15.6 in 1920x1080 / FHD 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02dd009-109845207/nup,"Panel part numbers: 02DD009, 02DL688, 01LW399, 01YU835, 5D10M43965, 5D10M53949, 5D10M55963. Compatible laptop models: Lenovo ThinkPad P51s (20HB/20HC/20JY/20K0), Asus VivoBook 15 X510UR, Asus VivoBook S510NA, Asus VivoBook 15 R507UA, Asus VivoBook 15 F507MA, Asus VivoBook 15 F510UA, Asus VivoBook 15 F545FJ, Asus VivoBook 15 X545FA, Asus VivoBook K570UD, MSI GV62VR 7RF (MS-16JB). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Asus | Dell | Lenovo,Asus | Dell | Lenovo,,Compatible Display 04T17W 14.0 in 1366x768 / HD 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-04t17w-18894153,"Panel part numbers: 04T17W. Compatible laptop models: Asus P452LJ, Asus P453UJ, Lenovo IdeaPad 100-14IBY (80MH/80R7), Dell Latitude 14 (E5470), Lenovo V310-14ISK (80SX/80UF), Asus VivoBook Max X441SA, Asus VivoBook X456UV, Asus VivoBook 14 X442UR, Asus ExpertBook P5 P5440FA, Lenovo ThinkPad E470 (20H1/20H2). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Acer | Fujitsu | HP | Packard Bell | Samsung | Toshiba,Acer | Fujitsu | HP | Packard Bell | Samsung | Toshiba,,Compatible Display 04W0424 15.6 in 1366x768 / HD 40-pin LVDS,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-04w0424-18894159,"Panel part numbers: 04W0424, 04W3341, 04W3339, 04W0430, 04W3260, 04X1104, 04W0428, 04W3551, 04W0426. Compatible laptop models: Acer Extensa 5635G, HP Pavilion dv6-1300, Packard Bell EasyNote TJ67, Samsung R580, Acer Aspire 5741G, Toshiba Tecra S11, Fujitsu LifeBook A530, Samsung Q530, Acer Aspire 5742, Nexoc E637 (TW9). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Acer | Asus | HP,Acer | Asus | HP,,Compatible Display 04W4006 14.0 in 1366x768 / HD 40-pin LVDS,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-04w4006-92748467,"Panel part numbers: 04W4006. Compatible laptop models: Acer TravelMate P2 (P243-M), Acer Aspire E1-471G, Asus N82EI, Asus X450EA, Asus A42JV, Asus N43SN, HP ProBook 6450b, HP ProBook 6440b, Acer Aspire 4743G, Acer Aspire 4743Z. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Asus | Dell | HP | Lenovo,Asus | Dell | HP | Lenovo,,Compatible Display 04X0436 14.0 in 1920x1080 / FHD 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-04x0436-52161121,"Panel part numbers: 04X0436, 01EN223, 01HW839, 04X0626, 04X5916, 04X4807, 0C00349, 04X5883, 0C00331. Compatible laptop models: Dell Latitude 14 (E7470), Lenovo ThinkPad T460s (20FA/20F9), Lenovo S41-70 (80JU/80JS), HP Chromebook 14 G4, Lenovo ThinkPad E450 (20DC/20DD), HP mt42 Mobile Thin Client, Asus VivoBook 14 X405UQ, Asus VivoBook Max X441MB, Lenovo ThinkPad A485 (20MU/20MV), Lenovo V330-14ARR (81B1). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Acer | Clevo | Lenovo | Schenker,Acer | Clevo | Lenovo | Schenker,,Compatible Display 04X3928 14.0 in 1600x900 / HD+ 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-04x3928-26374836,"Panel part numbers: 04X3928, 04X5914, 04Y1584, 04X5023. Compatible laptop models: Lenovo ThinkPad T450 (20BV/20BU/20DJ), Lenovo ThinkPad T440 (20B7/20B6), Lenovo ThinkPad T440s (20AQ/20AR), Lenovo ThinkPad T440p (20AN/20AW), Lenovo ThinkPad S440 (20AY), Clevo W84x, Schenker S405 (W840SN), Schenker S403 (W840SN), Acer TravelMate TM8473Z. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Acer | Asus | Packard Bell | Toshiba,Acer | Asus | Packard Bell | Toshiba,,Compatible Display 04X4812 15.6 in 1920x1080 / FHD 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-04x4812-100193845,"Panel part numbers: 04X4812, 00HN836, 01EN351, 02DA380, 02DD008, 5D10H15380, 5D10M34037, 5D10R65303, SD10R33576. Compatible laptop models: Packard Bell EasyNote TE69CX, Asus R510LN, Acer Aspire V3-571G, Toshiba Satellite L50-B, Asus N550JV, Asus R556LD, Asus N551JX, Asus X555LN, Asus VivoBook S551LN, Acer Extensa 2511G. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Acer | Asus | Dell | Lenovo | Packard Bell | Sony,Acer | Asus | Dell | Lenovo | Packard Bell | Sony,,Compatible Display 04Y1278 15.6 in 1366x768 / HD 40-pin LVDS,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-04y1278-30093322,"Panel part numbers: 04Y1278, 18200706, 18200764, 0C17676. Compatible laptop models: Acer TravelMate 6595TG, Acer TravelMate 8571G, Asus Pro Advanced B53E, Acer TravelMate 8572, Acer TravelMate TimelineX 8572T, Lenovo IdeaPad N585, Sony E15, Packard Bell EasyNote TS45HR, Acer TravelMate 8573, Dell Inspiron 15 (3531). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Acer | Clevo | Lenovo | Schenker,Acer | Clevo | Lenovo | Schenker,,Compatible Display 04Y1585 14.0 in 1600x900 / HD+ 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-04y1585-26374838,"Panel part numbers: 04Y1585, 04X4932, 04X3927, 04X4046. Compatible laptop models: Clevo W84x, Lenovo ThinkPad T440 (20B7/20B6), Lenovo ThinkPad T440s (20AQ/20AR), Lenovo ThinkPad T440p (20AN/20AW), Lenovo ThinkPad S440 (20AY), Schenker S405 (W840SN), Schenker S403 (W840SN), Lenovo ThinkPad T450 (20BV/20BU/20DJ), Acer TravelMate TM8473Z. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Acer | Asus | Fujitsu | HP | Packard Bell,Acer | Asus | Fujitsu | HP | Packard Bell,,Compatible Display 0A66613 15.6 in 1366x768 / HD 40-pin LVDS,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-0a66613-18895523,"Panel part numbers: 0A66613, 0A66659, 0A66661, 0A66619, 42T0660, 42T0659, 0A66650, 0C54766, 27R2405, 27R2469. Compatible laptop models: HP G62, HP Pavilion dv6-3000, Asus A52JK, Acer Extensa 5735G-2, Acer Aspire 5940G, Asus Pro5DIN, Packard Bell EasyNote TK85, Acer Aspire 5736Z, Fujitsu LifeBook AH530/HD6, Nexoc S645 (TW9). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Asus | Dell | Fujitsu | Medion,Asus | Dell | Fujitsu | Medion,,Compatible Display 0A66675 15.6 in 1920x1080 / FHD 40-pin LVDS,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-0a66675-29733660,"Panel part numbers: 0A66675, 04W1544, 0A66631, 04X0609, 0C00347, 04W3479, 18200453, 42T0765, 04W3471, 04X0531. Compatible laptop models: Medion Erazer X6812 (MS-16F1), Fujitsu LifeBook E782, Asus ROG G53SW, Dell Latitude 15 (E6530), Fujitsu Celsius H700, Asus X5MJQ, Dell Latitude 15 (E5530) (DDR3), Asus N53JN, Asus N53JF, Asus N56VZ. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Acer | Asus | Dell | HP | Lenovo | MSI | Sony,Acer | Asus | Dell | HP | Lenovo | MSI | Sony,,Compatible Display 0C17681 15.6 in 1920x1080 / FHD 40-pin LVDS,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-0c17681-101298230,"Panel part numbers: 0C17681, LP156WF4 (SL)(B5), LP156WF4-SLB5, 04Y1283. Compatible laptop models: Lenovo ThinkPad Edge E531, Asus ROG GL552VW, Asus N543UA, HP ZBook 15 G3, Acer Aspire V 15 Nitro (VN7-572), Dell Latitude 15 (E6540), MSI GS60 2PC/2PE/2PM (MS-16H2), Sony E15, Sony SVE15, HP Envy dv6-7200. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Asus | Dell | Fujitsu | HP | Lenovo,Asus | Dell | Fujitsu | HP | Lenovo,,Compatible Display 0D3MR5 14.0 in 1366x768 / HD 40-pin LVDS,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-0d3mr5-18896269,"Panel part numbers: 0D3MR5, GJ475, 0X53MX. Compatible laptop models: Fujitsu LifeBook S751, HP ProBook 440 G0, Dell Latitude 14 (E5420), HP 245 G1, Lenovo Z40-70 (80E6), Asus A42JY, Asus K45DE, Asus K42JR, HP ProBook 6450b, HP ProBook 6440b. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Acer | Asus | Compaq | HP | Packard Bell | Samsung,Acer | Asus | Compaq | HP | Packard Bell | Samsung,,Compatible Display 0DD282 15.4 in 1280x800 / WXGA 30-pin LVDS,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-0dd282-18896276/nup,"Panel part numbers: 0DD282. Compatible laptop models: Samsung X60, Acer TravelMate 5210, Acer Aspire 5520, Acer Aspire 5921, Acer Aspire 5710, Packard Bell EasyNote ME35, Packard Bell EasyNote MB86, Packard Bell EasyNote MX36, HP Compaq nw8440 Mobile Workstation, Asus X56TA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Asus | Lenovo,Asus | Lenovo,,Compatible Display 0DV5C5 15.6 in 1920x1080 / FHD 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-0dv5c5-112620869,"Panel part numbers: 0DV5C5, 06N3YH, DV5C5. Compatible laptop models: Lenovo IdeaPad 330S-15IKB (81F5/81JN), Asus ROG Zephyrus M GU502GW, Lenovo ThinkPad T590 (20N4/20N5), Asus TUF F15 FX506LI, Razer Blade 15, Lenovo IdeaPad 3-15IML05 (81WR/81WB), Lenovo ThinkPad L15 Gen 1 (20U7/20U8), Lenovo Legion Y7000 1050 (81V4), Lenovo IdeaPad S340-15IML (81NA), Lenovo V15 G1-IML (82NB). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Asus | Clevo | Dell | Fujitsu | Lenovo | MSI,Asus | Clevo | Dell | Fujitsu | Lenovo | MSI,,Compatible Display 0MC6JN 15.6 in 1920x1080 / FHD 40-pin LVDS,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-0mc6jn-18896947,"Panel part numbers: 0MC6JN. Compatible laptop models: Dell XPS (L502X), Asus ROG G53JW, Asus Pro Essential PU551JD, Dell XPS 15 (L501X), Lenovo IdeaPad 305-15IBD (80NJ), MSI GP60 2PE/2OD/2QE/2QF (MS-16GH), Asus ROG G550JX, Fujitsu LifeBook A531, MSI GT683/GT683R/GT683DX/GT683DXR (MS-16F2), Clevo W25x. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
cross-brand,structured-db,Acer | Asus | Fujitsu | HP | Toshiba,Acer | Asus | Fujitsu | HP | Toshiba,,Compatible Display 0RDMMH 15.6 in 1366x768 / HD 40-pin LVDS,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-0rdmmh-30093325,"Panel part numbers: 0RDMMH, N3YY9, RDMMH, 07JX0P, 7JX0P, 0R579, 0M4TK3, CN-0M4TK3, M4TK3. Compatible laptop models: Acer TravelMate 8573T, Acer Aspire V5-571, Acer TravelMate 6595G, Acer Aspire 5830TG, Acer TravelMate 8572T, Fujitsu LifeBook AH512, Asus K52JE, HP Envy m6-1100, Acer Aspire E1-532G, Toshiba Satellite L50-B. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
